Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
1685,459100,KR7459100004,위츠,KOSDAQ,중견기업부,5400,1,200,3.85,5320,5420,5000,46977,247923970,72716940000,13466100,KSQ,중견기업부,전자부품 제조업
1686,000850,KR7000850008,화천기공,KOSPI,,33050,1,750,2.32,32350,33200,32350,4254,140182050,72710000000,2200000,STK,,특수 목적용 기계 제조업
1687,053280,KR7053280004,예스24,KOSDAQ,중견기업부,2905,1,65,2.29,2845,2910,2835,12613,36283030,72625000000,25000000,KSQ,중견기업부,무점포 소매업
1688,120115,KR7120111000,코오롱인더우,KOSPI,,26200,1,1150,4.59,25400,26700,25400,14854,387602875,72517932000,2767860,STK,,
1689,216050,KR7216050005,인크로스,KOSDAQ,중견기업부,5940,1,120,2.06,5830,6000,5740,65623,386407695,72459814680,12198622,KSQ,중견기업부,광고업
1690,126880,KR7126880004,제이엔케이글로벌,KOSDAQ,우량기업부,3115,1,30,0.97,3050,3195,2985,49717,155203154,72283272845,23204903,KSQ,우량기업부,일반 목적용 기계 제조업
1691,081180,KR7081180002,쎄크,KOSDAQ,기술성장기업부,8180,1,270,3.41,8100,8300,8000,40791,332948700,72192876300,8825535,KSQ,기술성장기업부,일반 목적용 기계 제조업
1692,100220,KR7100220003,비상교육,KOSPI,,5550,1,180,3.35,5360,5590,5300,33376,181710970,72131912550,12996741,STK,,"서적, 잡지 및 기타 인쇄물 출판업"
1693,228670,KR7228670006,레이,KOSDAQ,벤처기업부,4610,1,60,1.32,4590,4780,4510,51121,235155907,72100496810,15640021,KSQ,벤처기업부,의료용 기기 제조업
1694,448710,KR7448710004,코츠테크놀로지,KOSDAQ,벤처기업부,13640,1,290,2.17,13800,13800,13120,43133,580258765,72091382880,5285292,KSQ,벤처기업부,컴퓨터 및 주변장치 제조업
1695,478560,KR7478560006,블랙야크아이앤씨,KOSDAQ,벤처기업부,2785,1,85,3.15,2745,2900,2745,10573,29672796,71937379930,25830298,KSQ,벤처기업부,신발 및 신발 부분품 제조업
1696,234920,KR7234920007,자이글,KOSDAQ,관리종목(소속부없음),5310,0,0,0.0,0,0,0,0,0,71849132100,13530910,KSQ,관리종목(소속부없음),가정용 기기 제조업
1697,000180,KR7000180000,성창기업지주,KOSPI,,5140,1,100,1.98,5010,5170,5010,13247,67373380,71704644800,13950320,STK,,회사 본부 및 경영 컨설팅 서비스업
1698,168330,KR7168330009,내츄럴엔도텍,KOSDAQ,투자주의환기종목(소속부없음),2255,1,35,1.58,2220,2305,2150,21038,47022210,71607299500,31754900,KSQ,투자주의환기종목(소속부없음),자연과학 및 공학 연구개발업
1699,128660,KR7128660008,피제이메탈,KOSDAQ,우량기업부,2885,1,85,3.04,2815,2890,2815,72625,207230850,71557719565,24803369,KSQ,우량기업부,1차 비철금속 제조업
1700,111710,KR7111710000,남화산업,KOSDAQ,중견기업부,3475,1,30,0.87,3450,3490,3395,711,2456570,71543300000,20588000,KSQ,중견기업부,스포츠 서비스업
1701,007820,KR7007820004,엠엑스로보틱스,KOSDAQ,중견기업부,3570,1,260,7.85,3325,3630,3325,237353,832673575,71521187220,20033946,KSQ,중견기업부,일반 목적용 기계 제조업
1702,033130,KR7033130006,디지틀조선,KOSDAQ,중견기업부,1927,1,15,0.78,1961,2075,1921,59624,118725218,71521119509,37115267,KSQ,중견기업부,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1703,032850,KR7032850000,비트컴퓨터,KOSDAQ,벤처기업부,4300,1,105,2.5,4235,4350,4200,20291,86807135,71480159900,16623293,KSQ,벤처기업부,소프트웨어 개발 및 공급업
1704,002800,KR7002800001,신신제약,KOSDAQ,우량기업부,4695,1,160,3.53,4535,4725,4535,24542,113071980,71225497500,15170500,KSQ,우량기업부,의약품 제조업
1705,094860,KR7094860004,네오리진,KOSDAQ,중견기업부,1341,1,20,1.51,1365,1388,1321,84726,114575229,71220528774,53110014,KSQ,중견기업부,소프트웨어 개발 및 공급업
1706,347860,KR7347860009,알체라,KOSDAQ,중견기업부,1721,1,1,0.06,1720,1742,1662,214238,365108587,71078940113,41300953,KSQ,중견기업부,소프트웨어 개발 및 공급업
1707,079980,KR7079980009,휴비스,KOSPI,,2060,1,85,4.3,2000,2125,1980,114081,231678393,71070000000,34500000,STK,,화학섬유 제조업
1708,443250,KR7443250006,레뷰코퍼레이션,KOSDAQ,벤처기업부,6370,1,250,4.08,6150,6380,6080,8622,53886190,70947531200,11137760,KSQ,벤처기업부,광고업
1709,045660,KR7045660008,에이텍,KOSDAQ,우량기업부,8580,1,100,1.18,8450,8700,8450,18470,158851160,70870800000,8260000,KSQ,우량기업부,일반 목적용 기계 제조업
